_id,location_id,gender,agegrp,date,covid_cases,county_name
93,18003,F,0-19,2020-06-25T00:00:00,2,Allen
94,18003,F,0-19,2020-06-26T00:00:00,1,Allen
95,18003,F,0-19,2020-06-27T00:00:00,1,Allen
96,18003,F,0-19,2020-06-28T00:00:00,2,Allen
97,18003,F,0-19,2020-07-01T00:00:00,1,Allen
98,18003,F,0-19,2020-07-02T00:00:00,1,Allen
99,18003,F,0-19,2020-07-03T00:00:00,2,Allen
100,18003,F,0-19,2020-07-04T00:00:00,1,Allen
101,18003,F,0-19,2020-07-05T00:00:00,1,Allen
102,18003,F,20-29,2020-03-19T00:00:00,1,Allen
103,18003,F,20-29,2020-04-02T00:00:00,1,Allen
104,18003,F,20-29,2020-04-06T00:00:00,1,Allen
105,18003,F,20-29,2020-04-08T00:00:00,1,Allen
106,18003,F,20-29,2020-04-10T00:00:00,1,Allen
107,18003,F,20-29,2020-04-11T00:00:00,1,Allen
108,18003,F,20-29,2020-04-12T00:00:00,4,Allen
109,18003,F,20-29,2020-04-13T00:00:00,2,Allen
110,18003,F,20-29,2020-04-15T00:00:00,7,Allen
111,18003,F,20-29,2020-04-16T00:00:00,5,Allen
112,18003,F,20-29,2020-04-17T00:00:00,2,Allen
113,18003,F,20-29,2020-04-19T00:00:00,4,Allen
114,18003,F,20-29,2020-04-21T00:00:00,2,Allen
115,18003,F,20-29,2020-04-22T00:00:00,2,Allen
116,18003,F,20-29,2020-04-23T00:00:00,1,Allen
117,18003,F,20-29,2020-04-24T00:00:00,3,Allen
118,18003,F,20-29,2020-04-26T00:00:00,1,Allen
119,18003,F,20-29,2020-04-28T00:00:00,1,Allen
120,18003,F,20-29,2020-04-29T00:00:00,1,Allen
121,18003,F,20-29,2020-04-30T00:00:00,2,Allen
122,18003,F,20-29,2020-05-02T00:00:00,1,Allen
123,18003,F,20-29,2020-05-03T00:00:00,1,Allen
124,18003,F,20-29,2020-05-04T00:00:00,2,Allen
125,18003,F,20-29,2020-05-05T00:00:00,3,Allen
126,18003,F,20-29,2020-05-06T00:00:00,3,Allen
127,18003,F,20-29,2020-05-07T00:00:00,5,Allen
128,18003,F,20-29,2020-05-08T00:00:00,4,Allen
129,18003,F,20-29,2020-05-09T00:00:00,4,Allen
130,18003,F,20-29,2020-05-10T00:00:00,1,Allen
131,18003,F,20-29,2020-05-11T00:00:00,9,Allen
132,18003,F,20-29,2020-05-12T00:00:00,1,Allen
133,18003,F,20-29,2020-05-13T00:00:00,5,Allen
134,18003,F,20-29,2020-05-14T00:00:00,5,Allen
135,18003,F,20-29,2020-05-16T00:00:00,1,Allen
136,18003,F,20-29,2020-05-17T00:00:00,5,Allen
137,18003,F,20-29,2020-05-19T00:00:00,3,Allen
138,18003,F,20-29,2020-05-20T00:00:00,5,Allen
