_id,date,beds_icu_total,beds_icu_occupied_beds_covid_19,bed_occupied_icu_non_covid,beds_available_icu_beds_total,vents_total,vents_all_in_use_covid_19,vents_non_covid_pts_on_vents,vents_all_available_vents_not_in_use,pct_beds_icu_occupied_beds_covid_19,pct_bed_occupied_icu_non_covid,pct_beds_available_icu_beds_total,pct_vents_all_in_use_covid_19,pct_vents_non_covid_pts_on_vents,pct_vents_all_available_vents_not_in_use
11,2020-04-18T00:00:00,2872,649,878,1345,3117,344,332,2441,22.60000000000000142108547152020037174224853515625,30.57000000000000028421709430404007434844970703125,46.8299999999999982946974341757595539093017578125,11.03999999999999914734871708787977695465087890625,10.6500000000000003552713678800500929355621337890625,78.31000000000000227373675443232059478759765625
12,2020-04-19T00:00:00,2863,670,833,1360,3104,353,342,2409,23.39999999999999857891452847979962825775146484375,29.10000000000000142108547152020037174224853515625,47.5,11.3699999999999992184029906638897955417633056640625,11.019999999999999573674358543939888477325439453125,77.6099999999999994315658113919198513031005859375
13,2020-04-20T00:00:00,3008,677,906,1425,3173,369,358,2446,22.510000000000001563194018672220408916473388671875,30.120000000000000994759830064140260219573974609375,47.36999999999999744204615126363933086395263671875,11.6300000000000007815970093361102044582366943359375,11.2799999999999993605115378159098327159881591796875,77.090000000000003410605131648480892181396484375
14,2020-04-21T00:00:00,3060,634,1009,1417,3184,335,401,2448,20.719999999999998863131622783839702606201171875,32.969999999999998863131622783839702606201171875,46.31000000000000227373675443232059478759765625,10.519999999999999573674358543939888477325439453125,12.589999999999999857891452847979962825775146484375,76.8799999999999954525264911353588104248046875
15,2020-04-22T00:00:00,3234,652,1178,1404,3203,333,404,2466,20.160000000000000142108547152020037174224853515625,36.42999999999999971578290569595992565155029296875,43.409999999999996589394868351519107818603515625,10.4000000000000003552713678800500929355621337890625,12.6099999999999994315658113919198513031005859375,76.9899999999999948840923025272786617279052734375
16,2020-04-23T00:00:00,3272,621,1201,1450,3215,325,372,2518,18.980000000000000426325641456060111522674560546875,36.71000000000000085265128291212022304534912109375,44.32000000000000028421709430404007434844970703125,10.1099999999999994315658113919198513031005859375,11.57000000000000028421709430404007434844970703125,78.31999999999999317878973670303821563720703125
17,2020-04-24T00:00:00,3258,598,1204,1456,3198,324,359,2515,18.35000000000000142108547152020037174224853515625,36.96000000000000085265128291212022304534912109375,44.68999999999999772626324556767940521240234375,10.1300000000000007815970093361102044582366943359375,11.230000000000000426325641456060111522674560546875,78.6400000000000005684341886080801486968994140625
18,2020-04-25T00:00:00,3312,588,1304,1420,3158,310,359,2489,17.75,39.36999999999999744204615126363933086395263671875,42.86999999999999744204615126363933086395263671875,9.82000000000000028421709430404007434844970703125,11.3699999999999992184029906638897955417633056640625,78.81999999999999317878973670303821563720703125
19,2020-04-26T00:00:00,3307,581,1277,1449,3160,284,378,2498,17.57000000000000028421709430404007434844970703125,38.61999999999999744204615126363933086395263671875,43.82000000000000028421709430404007434844970703125,8.9900000000000002131628207280300557613372802734375,11.96000000000000085265128291212022304534912109375,79.0499999999999971578290569595992565155029296875
20,2020-04-27T00:00:00,3271,546,1279,1446,3180,275,380,2525,16.690000000000001278976924368180334568023681640625,39.10000000000000142108547152020037174224853515625,44.21000000000000085265128291212022304534912109375,8.6500000000000003552713678800500929355621337890625,11.949999999999999289457264239899814128875732421875,79.400000000000005684341886080801486968994140625
21,2020-04-28T00:00:00,3063,562,1162,1339,3026,267,323,2436,18.35000000000000142108547152020037174224853515625,37.93999999999999772626324556767940521240234375,43.719999999999998863131622783839702606201171875,8.82000000000000028421709430404007434844970703125,10.6699999999999999289457264239899814128875732421875,80.5
